1470649667526	2016-08-08 11-47-47.526	moved	image-69	to	{"x":244,"y":460}
1470649667552	2016-08-08 11-47-47.552	moved	image-69	to	{"x":245,"y":460}
1470649667568	2016-08-08 11-47-47.568	moved	image-69	to	{"x":246,"y":460}
1470649667592	2016-08-08 11-47-47.592	moved	image-69	to	{"x":247,"y":460}
1470649667600	2016-08-08 11-47-47.600	moved	image-69	to	{"x":248,"y":460}
1470649667618	2016-08-08 11-47-47.618	moved	image-69	to	{"x":249,"y":460}
1470649667634	2016-08-08 11-47-47.634	moved	image-69	to	{"x":250,"y":459}
1470649667652	2016-08-08 11-47-47.652	moved	image-69	to	{"x":251,"y":459}
1470649667658	2016-08-08 11-47-47.658	moved	image-69	to	{"x":252,"y":459}
1470649667667	2016-08-08 11-47-47.667	moved	image-69	to	{"x":253,"y":459}
1470649667675	2016-08-08 11-47-47.675	moved	image-69	to	{"x":255,"y":459}
1470649667683	2016-08-08 11-47-47.683	moved	image-69	to	{"x":257,"y":459}
1470649667692	2016-08-08 11-47-47.692	moved	image-69	to	{"x":259,"y":459}
1470649667700	2016-08-08 11-47-47.700	moved	image-69	to	{"x":261,"y":459}
1470649667708	2016-08-08 11-47-47.708	moved	image-69	to	{"x":263,"y":459}
1470649667716	2016-08-08 11-47-47.716	moved	image-69	to	{"x":265,"y":459}
1470649667726	2016-08-08 11-47-47.726	moved	image-69	to	{"x":267,"y":459}
1470649667733	2016-08-08 11-47-47.733	moved	image-69	to	{"x":269,"y":459}
1470649667741	2016-08-08 11-47-47.741	moved	image-69	to	{"x":271,"y":459}
1470649667751	2016-08-08 11-47-47.751	moved	image-69	to	{"x":274,"y":459}
1470649667758	2016-08-08 11-47-47.758	moved	image-69	to	{"x":276,"y":458}
1470649667767	2016-08-08 11-47-47.767	moved	image-69	to	{"x":278,"y":458}
1470649667775	2016-08-08 11-47-47.775	moved	image-69	to	{"x":280,"y":458}
1470649667784	2016-08-08 11-47-47.784	moved	image-69	to	{"x":283,"y":457}
1470649667791	2016-08-08 11-47-47.791	moved	image-69	to	{"x":285,"y":457}
1470649667801	2016-08-08 11-47-47.801	moved	image-69	to	{"x":288,"y":457}
1470649667808	2016-08-08 11-47-47.808	moved	image-69	to	{"x":291,"y":456}
1470649667816	2016-08-08 11-47-47.816	moved	image-69	to	{"x":294,"y":455}
1470649667825	2016-08-08 11-47-47.825	moved	image-69	to	{"x":296,"y":455}
1470649667833	2016-08-08 11-47-47.833	moved	image-69	to	{"x":299,"y":454}
1470649667841	2016-08-08 11-47-47.841	moved	image-69	to	{"x":302,"y":454}
1470649667850	2016-08-08 11-47-47.850	moved	image-69	to	{"x":303,"y":454}
1470649667858	2016-08-08 11-47-47.858	moved	image-69	to	{"x":306,"y":453}
1470649667866	2016-08-08 11-47-47.866	moved	image-69	to	{"x":309,"y":453}
1470649667875	2016-08-08 11-47-47.875	moved	image-69	to	{"x":311,"y":453}
1470649667883	2016-08-08 11-47-47.883	moved	image-69	to	{"x":314,"y":452}
1470649667892	2016-08-08 11-47-47.892	moved	image-69	to	{"x":316,"y":452}
1470649667900	2016-08-08 11-47-47.900	moved	image-69	to	{"x":320,"y":451}
1470649667930	2016-08-08 11-47-47.930	moved	image-69	to	{"x":322,"y":451}
1470649667933	2016-08-08 11-47-47.933	moved	image-69	to	{"x":327,"y":450}
1470649667936	2016-08-08 11-47-47.936	moved	image-69	to	{"x":329,"y":450}
1470649667942	2016-08-08 11-47-47.942	moved	image-69	to	{"x":331,"y":449}
1470649667951	2016-08-08 11-47-47.951	moved	image-69	to	{"x":333,"y":449}
1470649667959	2016-08-08 11-47-47.959	moved	image-69	to	{"x":335,"y":448}
1470649667968	2016-08-08 11-47-47.968	moved	image-69	to	{"x":337,"y":448}
1470649667976	2016-08-08 11-47-47.976	moved	image-69	to	{"x":338,"y":448}
1470649667984	2016-08-08 11-47-47.984	moved	image-69	to	{"x":340,"y":447}
1470649667992	2016-08-08 11-47-47.992	moved	image-69	to	{"x":341,"y":447}
1470649668001	2016-08-08 11-47-48.001	moved	image-69	to	{"x":343,"y":447}
1470649668008	2016-08-08 11-47-48.008	moved	image-69	to	{"x":345,"y":447}
1470649668016	2016-08-08 11-47-48.016	moved	image-69	to	{"x":347,"y":446}
1470649668026	2016-08-08 11-47-48.026	moved	image-69	to	{"x":348,"y":446}
1470649668033	2016-08-08 11-47-48.033	moved	image-69	to	{"x":350,"y":446}
1470649668042	2016-08-08 11-47-48.042	moved	image-69	to	{"x":351,"y":446}
1470649668050	2016-08-08 11-47-48.050	moved	image-69	to	{"x":354,"y":445}
1470649668059	2016-08-08 11-47-48.059	moved	image-69	to	{"x":356,"y":445}
1470649668067	2016-08-08 11-47-48.067	moved	image-69	to	{"x":358,"y":444}
1470649668075	2016-08-08 11-47-48.075	moved	image-69	to	{"x":360,"y":444}
1470649668084	2016-08-08 11-47-48.084	moved	image-69	to	{"x":362,"y":443}
1470649668093	2016-08-08 11-47-48.093	moved	image-69	to	{"x":364,"y":443}
1470649668100	2016-08-08 11-47-48.100	moved	image-69	to	{"x":366,"y":443}
1470649668109	2016-08-08 11-47-48.109	moved	image-69	to	{"x":368,"y":442}
1470649668116	2016-08-08 11-47-48.116	moved	image-69	to	{"x":370,"y":442}
1470649668125	2016-08-08 11-47-48.125	moved	image-69	to	{"x":372,"y":442}
1470649668134	2016-08-08 11-47-48.134	moved	image-69	to	{"x":374,"y":442}
1470649668143	2016-08-08 11-47-48.143	moved	image-69	to	{"x":375,"y":442}
1470649668151	2016-08-08 11-47-48.151	moved	image-69	to	{"x":377,"y":441}
1470649668159	2016-08-08 11-47-48.159	moved	image-69	to	{"x":378,"y":441}
1470649668168	2016-08-08 11-47-48.168	moved	image-69	to	{"x":379,"y":441}
1470649668176	2016-08-08 11-47-48.176	moved	image-69	to	{"x":380,"y":441}
1470649668184	2016-08-08 11-47-48.184	moved	image-69	to	{"x":381,"y":441}
1470649668192	2016-08-08 11-47-48.192	moved	image-69	to	{"x":382,"y":441}
1470649668201	2016-08-08 11-47-48.201	moved	image-69	to	{"x":383,"y":441}
1470649668217	2016-08-08 11-47-48.217	moved	image-69	to	{"x":383,"y":440}
1470649668225	2016-08-08 11-47-48.225	moved	image-69	to	{"x":384,"y":440}
1470649668242	2016-08-08 11-47-48.242	moved	image-69	to	{"x":385,"y":440}
1470649668259	2016-08-08 11-47-48.259	moved	image-69	to	{"x":386,"y":440}
1470649668276	2016-08-08 11-47-48.276	moved	image-69	to	{"x":387,"y":440}
1470649668284	2016-08-08 11-47-48.284	moved	image-69	to	{"x":388,"y":440}
1470649668292	2016-08-08 11-47-48.292	moved	image-69	to	{"x":390,"y":440}
1470649668301	2016-08-08 11-47-48.301	moved	image-69	to	{"x":392,"y":439}
1470649668309	2016-08-08 11-47-48.309	moved	image-69	to	{"x":395,"y":439}
1470649668317	2016-08-08 11-47-48.317	moved	image-69	to	{"x":398,"y":439}
1470649668326	2016-08-08 11-47-48.326	moved	image-69	to	{"x":402,"y":439}
1470649668334	2016-08-08 11-47-48.334	moved	image-69	to	{"x":405,"y":438}
1470649668343	2016-08-08 11-47-48.343	moved	image-69	to	{"x":408,"y":438}
1470649668351	2016-08-08 11-47-48.351	moved	image-69	to	{"x":412,"y":438}
1470649668360	2016-08-08 11-47-48.360	moved	image-69	to	{"x":415,"y":438}
1470649668367	2016-08-08 11-47-48.367	moved	image-69	to	{"x":417,"y":437}
1470649668376	2016-08-08 11-47-48.376	moved	image-69	to	{"x":421,"y":437}
1470649668384	2016-08-08 11-47-48.384	moved	image-69	to	{"x":424,"y":436}
1470649668392	2016-08-08 11-47-48.392	moved	image-69	to	{"x":427,"y":436}
1470649668401	2016-08-08 11-47-48.401	moved	image-69	to	{"x":430,"y":435}
1470649668409	2016-08-08 11-47-48.409	moved	image-69	to	{"x":433,"y":435}
1470649668417	2016-08-08 11-47-48.417	moved	image-69	to	{"x":435,"y":435}
1470649668426	2016-08-08 11-47-48.426	moved	image-69	to	{"x":437,"y":434}
1470649668434	2016-08-08 11-47-48.434	moved	image-69	to	{"x":439,"y":434}
1470649668442	2016-08-08 11-47-48.442	moved	image-69	to	{"x":440,"y":434}
1470649668451	2016-08-08 11-47-48.451	moved	image-69	to	{"x":442,"y":434}
1470649668459	2016-08-08 11-47-48.459	moved	image-69	to	{"x":443,"y":434}
1470649668467	2016-08-08 11-47-48.467	moved	image-69	to	{"x":445,"y":433}
1470649668476	2016-08-08 11-47-48.476	moved	image-69	to	{"x":446,"y":433}
1470649668484	2016-08-08 11-47-48.484	moved	image-69	to	{"x":448,"y":433}
1470649668492	2016-08-08 11-47-48.492	moved	image-69	to	{"x":449,"y":433}
1470649668501	2016-08-08 11-47-48.501	moved	image-69	to	{"x":450,"y":433}
1470649668509	2016-08-08 11-47-48.509	moved	image-69	to	{"x":452,"y":432}
1470649669727	2016-08-08 11-47-49.727	acted	on	image-52
1470649669728	2016-08-08 11-47-49.728	selected	image-52
1470649669867	2016-08-08 11-47-49.867	start	moving	image-52	from	{"x":120,"y":98}
1470649669876	2016-08-08 11-47-49.876	moved	image-52	to	{"x":717,"y":482}
1470649669886	2016-08-08 11-47-49.886	moved	image-52	to	{"x":719,"y":482}
1470649669897	2016-08-08 11-47-49.897	moved	image-52	to	{"x":720,"y":483}
1470649669904	2016-08-08 11-47-49.904	moved	image-52	to	{"x":721,"y":484}
1470649669910	2016-08-08 11-47-49.910	moved	image-52	to	{"x":723,"y":484}
1470649669917	2016-08-08 11-47-49.917	moved	image-52	to	{"x":724,"y":485}
1470649669927	2016-08-08 11-47-49.927	moved	image-52	to	{"x":726,"y":486}
