1470054680085: 	action	draw	path-1470054678335	{"x":283,"y":508}
1470054680098: 	action	draw	path-1470054678335	{"x":283,"y":509}
1470054680106: 	action	draw	path-1470054678335	{"x":282,"y":511}
1470054680114: 	action	draw	path-1470054678335	{"x":282,"y":512}
1470054680123: 	action	draw	path-1470054678335	{"x":282,"y":513}
1470054680132: 	action	draw	path-1470054678335	{"x":281,"y":514}
1470054680139: 	action	draw	path-1470054678335	{"x":281,"y":516}
1470054680158: 	action	draw	path-1470054678335	{"x":281,"y":517}
1470054680173: 	action	draw	path-1470054678335	{"x":280,"y":517}
1470054680190: 	action	draw	path-1470054678335	{"x":280,"y":518}
1470054680549: 	action	draw	content	{"x":272,"y":510}
1470054680664: 	action	draw	content	{"x":279,"y":492}
1470054680672: 	action	draw	content	{"x":280,"y":489}
1470054680682: 	action	draw	content	{"x":281,"y":485}
1470054680689: 	action	draw	content	{"x":282,"y":481}
1470054680697: 	action	draw	content	{"x":284,"y":476}
1470054680706: 	action	draw	content	{"x":285,"y":472}
1470054680714: 	action	draw	content	{"x":286,"y":470}
1470054680722: 	action	draw	content	{"x":288,"y":465}
1470054680731: 	action	draw	content	{"x":289,"y":461}
1470054680739: 	action	draw	content	{"x":290,"y":458}
1470054680748: 	action	draw	content	{"x":292,"y":454}
1470054680756: 	action	draw	content	{"x":293,"y":450}
1470054680764: 	action	draw	content	{"x":294,"y":446}
1470054680771: 	action	draw	content	{"x":295,"y":443}
1470054680781: 	action	draw	content	{"x":296,"y":441}
1470054680789: 	action	draw	content	{"x":296,"y":439}
1470054680797: 	action	draw	content	{"x":297,"y":438}
1470054680807: 	action	draw	content	{"x":297,"y":437}
1470054680823: 	action	draw	content	{"x":298,"y":436}
1470054680839: 	action	draw	content	{"x":298,"y":435}
1470054680872: 	action	draw	content	{"x":298,"y":434}
1470054680972: 	action	draw	content	{"x":299,"y":434}
1470054681541: 	action	draw	content	{"x":49,"y":546}
1470054681648: 	action	draw	content	{"x":49,"y":562}
1470054681656: 	action	draw	content	{"x":49,"y":564}
1470054681664: 	action	draw	content	{"x":49,"y":566}
1470054681673: 	action	draw	content	{"x":49,"y":570}
1470054681681: 	action	draw	content	{"x":49,"y":572}
1470054681690: 	action	draw	content	{"x":49,"y":574}
1470054681698: 	action	draw	content	{"x":50,"y":577}
1470054681706: 	action	draw	content	{"x":50,"y":581}
1470054681714: 	action	draw	content	{"x":51,"y":584}
1470054681722: 	action	draw	content	{"x":52,"y":587}
1470054681731: 	action	draw	content	{"x":52,"y":589}
1470054681739: 	action	draw	content	{"x":53,"y":592}
1470054681748: 	action	draw	content	{"x":53,"y":594}
1470054681756: 	action	draw	content	{"x":53,"y":596}
1470054681764: 	action	draw	content	{"x":54,"y":599}
1470054681774: 	action	draw	content	{"x":54,"y":601}
1470054681781: 	action	draw	content	{"x":55,"y":603}
1470054681789: 	action	draw	content	{"x":55,"y":605}
1470054681797: 	action	draw	content	{"x":56,"y":607}
1470054681806: 	action	draw	content	{"x":56,"y":609}
1470054681813: 	action	draw	content	{"x":57,"y":610}
1470054681823: 	action	draw	content	{"x":57,"y":611}
1470054681832: 	action	draw	content	{"x":57,"y":612}
1470054681849: 	action	draw	content	{"x":57,"y":613}
1470054681864: 	action	draw	content	{"x":58,"y":613}
1470054681881: 	action	draw	content	{"x":58,"y":614}
1470054682366: 	action	draw	path-1470054649658	{"x":277,"y":523}
1470054682448: 	action	draw	path-1470054649658	{"x":277,"y":540}
1470054682456: 	action	draw	path-1470054649658	{"x":276,"y":543}
1470054682464: 	action	draw	path-1470054649658	{"x":276,"y":545}
1470054682473: 	action	draw	path-1470054649658	{"x":276,"y":549}
1470054682481: 	action	draw	path-1470054649658	{"x":275,"y":552}
1470054682489: 	action	draw	path-1470054649658	{"x":275,"y":555}
1470054682498: 	action	draw	path-1470054649658	{"x":275,"y":557}
1470054682505: 	action	draw	path-1470054649658	{"x":276,"y":560}
1470054682514: 	action	draw	path-1470054649658	{"x":276,"y":564}
1470054682523: 	action	draw	path-1470054649658	{"x":276,"y":567}
1470054682531: 	action	draw	path-1470054649658	{"x":276,"y":570}
1470054682539: 	action	draw	path-1470054649658	{"x":276,"y":573}
1470054682549: 	action	draw	path-1470054649658	{"x":276,"y":576}
1470054682556: 	action	draw	path-1470054649658	{"x":277,"y":578}
1470054682564: 	action	draw	path-1470054649658	{"x":277,"y":580}
1470054682573: 	action	draw	path-1470054649658	{"x":277,"y":582}
1470054682581: 	action	draw	path-1470054649658	{"x":277,"y":583}
1470054682590: 	action	draw	path-1470054649658	{"x":277,"y":585}
1470054682606: 	action	draw	path-1470054649658	{"x":277,"y":586}
1470054682623: 	action	draw	path-1470054649658	{"x":277,"y":587}
1470054682714: 	action	draw	path-1470054649658	{"x":278,"y":586}
1470054682724: 	action	draw	path-1470054649658	{"x":280,"y":585}
1470054682731: 	action	draw	path-1470054649658	{"x":282,"y":583}
1470054682739: 	action	draw	path-1470054649658	{"x":285,"y":582}
1470054683000: 	action	draw	path-1470054649658	{"x":279,"y":534}
1470054683089: 	action	draw	path-1470054649658	{"x":280,"y":550}
1470054683098: 	action	draw	path-1470054649658	{"x":280,"y":553}
1470054683106: 	action	draw	path-1470054649658	{"x":280,"y":556}
1470054683114: 	action	draw	path-1470054649658	{"x":280,"y":559}
1470054683124: 	action	draw	path-1470054649658	{"x":280,"y":562}
1470054683132: 	action	draw	path-1470054649658	{"x":281,"y":566}
1470054683140: 	action	draw	path-1470054649658	{"x":281,"y":570}
1470054683149: 	action	draw	path-1470054649658	{"x":281,"y":575}
1470054683157: 	action	draw	path-1470054649658	{"x":281,"y":578}
1470054683165: 	action	draw	path-1470054649658	{"x":282,"y":581}
1470054683173: 	action	draw	path-1470054649658	{"x":282,"y":585}
1470054683182: 	action	draw	path-1470054649658	{"x":282,"y":587}
1470054683190: 	action	draw	path-1470054649658	{"x":282,"y":590}
1470054683198: 	action	draw	path-1470054649658	{"x":282,"y":591}
1470054683207: 	action	draw	path-1470054649658	{"x":282,"y":593}
1470054683222: 	action	draw	path-1470054649658	{"x":282,"y":594}
1470054683231: 	action	draw	path-1470054649658	{"x":282,"y":595}
1470054683610: 	action	draw	path-1470054649658	{"x":281,"y":533}
1470054683707: 	action	draw	path-1470054649658	{"x":280,"y":551}
1470054683715: 	action	draw	path-1470054649658	{"x":281,"y":554}
1470054683724: 	action	draw	path-1470054649658	{"x":281,"y":558}
1470054683732: 	action	draw	path-1470054649658	{"x":281,"y":560}
1470054683741: 	action	draw	path-1470054649658	{"x":281,"y":563}
1470054683750: 	action	draw	path-1470054649658	{"x":282,"y":568}
1470054683757: 	action	draw	path-1470054649658	{"x":282,"y":573}
1470054683765: 	action	draw	path-1470054649658	{"x":283,"y":576}
1470054683774: 	action	draw	path-1470054649658	{"x":283,"y":580}
1470054683782: 	action	draw	path-1470054649658	{"x":283,"y":584}
1470054683791: 	action	draw	path-1470054649658	{"x":283,"y":589}
1470054683800: 	action	draw	path-1470054649658	{"x":283,"y":591}
