1470054631443: 	sub-instrument	start	draw	true
1470054631474: 	activate	draw
1470054634437: 	acted on	innerText
1470054634653: 	sub-instrument	stop	draw	false
1470054634667: 	deactivate	draw
1470054635977: 	acted on	innerText
1470054636077: 	sub-instrument	start	colorPicker	true
1470054636089: 	activate	colorPicker
1470054637081: 	acted on	#00FF00
1470054637166: 	sub-instrument	#00FF00	colorPicker	true
1470054640308: 	acted on	sample
1470054640908: 	action	colorPicker	sample	{"x":161.51699829101562,"y":281.1449890136719}
1470054640925: 	changed color to	rgb(0, 0, 0)
1470054642270: 	acted on	innerText
1470054642365: 	sub-instrument	stop	colorPicker	false
1470054642369: 	deactivate	colorPicker
1470054643368: 	acted on	innerText
1470054643458: 	sub-instrument	start	draw	true
1470054643486: 	activate	draw
1470054649652: 	acted on	content
1470054679123: 	action	draw	content	{"x":288,"y":418}
1470054679124: 	draw	content	{"x":288,"y":418}
1470054679131: 	action	draw	content	{"x":290,"y":418}
1470054679132: 	draw	content	{"x":290,"y":418}
1470054679139: 	action	draw	content	{"x":291,"y":418}
1470054679140: 	draw	content	{"x":291,"y":418}
1470054679156: 	action	draw	content	{"x":292,"y":417}
1470054679157: 	draw	content	{"x":292,"y":417}
1470054679172: 	action	draw	content	{"x":293,"y":417}
1470054679173: 	draw	content	{"x":293,"y":417}
1470054679189: 	draw	content	{"x":294,"y":417}
1470054679232: 	action	draw	content	{"x":295,"y":417}
1470054679233: 	draw	content	{"x":295,"y":417}
1470054679264: 	action	draw	content	{"x":296,"y":417}
1470054679265: 	draw	content	{"x":296,"y":417}
1470054679282: 	action	draw	content	{"x":297,"y":417}
1470054679283: 	draw	content	{"x":297,"y":417}
1470054679289: 	action	draw	content	{"x":297,"y":418}
1470054679290: 	draw	content	{"x":297,"y":418}
1470054679297: 	draw	content	{"x":298,"y":418}
1470054679315: 	action	draw	content	{"x":299,"y":418}
1470054679316: 	draw	content	{"x":299,"y":418}
1470054679332: 	action	draw	content	{"x":300,"y":418}
1470054679333: 	draw	content	{"x":300,"y":418}
1470054679373: 	action	draw	content	{"x":301,"y":417}
1470054679374: 	draw	content	{"x":301,"y":417}
1470054679432: 	action	draw	content	{"x":302,"y":418}
1470054679433: 	draw	content	{"x":302,"y":418}
1470054679674: 	acted on	path-1470054678335
1470054679676: 	action	draw	path-1470054678335	{"x":307,"y":427}
1470054679783: 	action	draw	path-1470054678335	{"x":300,"y":441}
1470054679789: 	action	draw	path-1470054678335	{"x":300,"y":442}
1470054679798: 	action	draw	path-1470054678335	{"x":299,"y":444}
