1470648328275: 	acted on	menu
1470648329614: 	acted on	innerText
1470648329764: 	sub-instrument	start	draw	true
1470648329766: 	activate	draw
1470648332690: 	acted on	sample
1470648396591: 	draw	image-37	{"x":25,"y":65}
1470648396609: 	draw	image-37	{"x":25,"y":64}
1470648396624: 	draw	image-37	{"x":25,"y":63}
1470648396641: 	draw	image-37	{"x":25,"y":62}
1470648396674: 	draw	image-37	{"x":25,"y":61}
1470648396699: 	draw	image-37	{"x":25,"y":60}
1470648396724: 	draw	image-37	{"x":26,"y":59}
1470648396741: 	draw	image-37	{"x":26,"y":58}
1470648396775: 	draw	image-37	{"x":26,"y":57}
1470648396791: 	draw	image-37	{"x":26,"y":56}
1470648396815: 	draw	image-37	{"x":27,"y":54}
1470648396856: 	draw	image-37	{"x":27,"y":53}
1470648396890: 	draw	image-37	{"x":28,"y":52}
1470648396924: 	draw	image-37	{"x":28,"y":51}
1470648396990: 	draw	image-37	{"x":29,"y":50}
1470648397024: 	draw	image-37	{"x":29,"y":49}
1470648397066: 	draw	image-37	{"x":30,"y":48}
1470648397106: 	draw	image-37	{"x":31,"y":47}
1470648397123: 	draw	image-37	{"x":31,"y":46}
1470648397140: 	draw	image-37	{"x":32,"y":45}
1470648397155: 	draw	image-37	{"x":33,"y":44}
1470648397173: 	draw	image-37	{"x":34,"y":43}
1470648397197: 	draw	image-37	{"x":35,"y":42}
1470648397221: 	draw	image-37	{"x":36,"y":41}
1470648397239: 	draw	image-37	{"x":37,"y":40}
1470648397274: 	draw	image-37	{"x":38,"y":39}
1470648397310: 	draw	image-37	{"x":40,"y":37}
1470648397332: 	draw	image-37	{"x":40,"y":36}
1470648397352: 	draw	image-37	{"x":41,"y":36}
1470648397380: 	draw	image-37	{"x":41,"y":35}
1470648397405: 	draw	image-37	{"x":42,"y":35}
1470648397430: 	draw	image-37	{"x":42,"y":34}
1470648397478: 	draw	image-37	{"x":44,"y":34}
1470648397493: 	draw	image-37	{"x":44,"y":33}
1470648397530: 	draw	image-37	{"x":45,"y":33}
1470648397558: 	draw	image-37	{"x":46,"y":33}
1470648397567: 	draw	image-37	{"x":46,"y":32}
1470648397592: 	draw	image-37	{"x":47,"y":32}
1470648397601: 	draw	image-37	{"x":48,"y":32}
1470648397615: 	draw	image-37	{"x":49,"y":31}
1470648397641: 	draw	image-37	{"x":50,"y":31}
1470648397656: 	draw	image-37	{"x":51,"y":30}
1470648397673: 	draw	image-37	{"x":52,"y":30}
1470648397697: 	draw	image-37	{"x":53,"y":30}
1470648397705: 	draw	image-37	{"x":53,"y":29}
1470648397723: 	draw	image-37	{"x":54,"y":29}
1470648397740: 	draw	image-37	{"x":55,"y":29}
1470648397764: 	draw	image-37	{"x":56,"y":28}
1470648397798: 	draw	image-37	{"x":57,"y":28}
1470648397815: 	draw	image-37	{"x":58,"y":28}
1470648397830: 	draw	image-37	{"x":59,"y":27}
1470648397860: 	draw	image-37	{"x":60,"y":27}
1470648397884: 	draw	image-37	{"x":61,"y":27}
1470648397927: 	draw	image-37	{"x":62,"y":26}
1470648397942: 	draw	image-37	{"x":63,"y":26}
1470648397958: 	draw	image-37	{"x":64,"y":26}
1470648397967: 	draw	image-37	{"x":65,"y":26}
1470648397980: 	draw	image-37	{"x":66,"y":25}
1470648397997: 	draw	image-37	{"x":67,"y":25}
1470648398022: 	draw	image-37	{"x":68,"y":25}
1470648398039: 	draw	image-37	{"x":69,"y":25}
1470648398046: 	draw	image-37	{"x":70,"y":25}
1470648398065: 	draw	image-37	{"x":71,"y":25}
1470648398074: 	draw	image-37	{"x":72,"y":25}
1470648398081: 	draw	image-37	{"x":73,"y":25}
1470648398088: 	draw	image-37	{"x":74,"y":25}
1470648398105: 	draw	image-37	{"x":75,"y":25}
1470648398122: 	draw	image-37	{"x":76,"y":25}
1470648398139: 	draw	image-37	{"x":77,"y":25}
1470648398146: 	draw	image-37	{"x":78,"y":25}
1470648398164: 	draw	image-37	{"x":79,"y":25}
1470648398180: 	draw	image-37	{"x":80,"y":25}
1470648398197: 	draw	image-37	{"x":81,"y":25}
1470648398204: 	draw	image-37	{"x":82,"y":25}
1470648398223: 	draw	image-37	{"x":83,"y":25}
1470648398229: 	draw	image-37	{"x":84,"y":25}
1470648398248: 	draw	image-37	{"x":85,"y":25}
1470648398256: 	draw	image-37	{"x":85,"y":26}
1470648398265: 	draw	image-37	{"x":86,"y":26}
1470648398272: 	draw	image-37	{"x":87,"y":26}
1470648398281: 	draw	image-37	{"x":88,"y":26}
1470648398298: 	draw	image-37	{"x":89,"y":26}
1470648398305: 	draw	image-37	{"x":90,"y":26}
