1470237068134: 	action	mover	image-37	{"x":657,"y":171}
1470237068135: 	moved	image-37	to	{"x":657,"y":171}
1470237068142: 	action	mover	image-37	{"x":658,"y":171}
1470237068153: 	action	mover	image-37	{"x":659,"y":170}
1470237068154: 	moved	image-37	to	{"x":659,"y":170}
1470237068160: 	action	mover	image-37	{"x":660,"y":170}
1470237068161: 	moved	image-37	to	{"x":660,"y":170}
1470237068172: 	action	mover	image-37	{"x":661,"y":169}
1470237068173: 	moved	image-37	to	{"x":661,"y":169}
1470237068178: 	action	mover	image-37	{"x":662,"y":169}
1470237068184: 	action	mover	image-37	{"x":663,"y":169}
1470237068185: 	moved	image-37	to	{"x":663,"y":169}
1470237068197: 	action	mover	image-37	{"x":665,"y":168}
1470237068198: 	moved	image-37	to	{"x":665,"y":168}
1470237068202: 	action	mover	image-37	{"x":667,"y":168}
1470237068204: 	moved	image-37	to	{"x":667,"y":168}
1470237068210: 	action	mover	image-37	{"x":669,"y":168}
1470237068217: 	action	mover	image-37	{"x":671,"y":167}
1470237068218: 	moved	image-37	to	{"x":671,"y":167}
1470237068227: 	action	mover	image-37	{"x":673,"y":167}
1470237068231: 	moved	image-37	to	{"x":673,"y":167}
1470237068238: 	action	mover	image-37	{"x":676,"y":166}
1470237068239: 	moved	image-37	to	{"x":676,"y":166}
1470237068253: 	action	mover	image-37	{"x":679,"y":166}
1470237068254: 	moved	image-37	to	{"x":679,"y":166}
1470237068259: 	action	mover	image-37	{"x":682,"y":165}
1470237068260: 	moved	image-37	to	{"x":682,"y":165}
1470237068263: 	action	mover	image-37	{"x":685,"y":164}
1470237068264: 	moved	image-37	to	{"x":685,"y":164}
1470237068268: 	action	mover	image-37	{"x":688,"y":164}
1470237068275: 	action	mover	image-37	{"x":691,"y":163}
1470237068276: 	moved	image-37	to	{"x":691,"y":163}
1470237068287: 	action	mover	image-37	{"x":694,"y":163}
1470237068288: 	moved	image-37	to	{"x":694,"y":163}
1470237068292: 	action	mover	image-37	{"x":696,"y":162}
1470237068300: 	action	mover	image-37	{"x":698,"y":162}
1470237068301: 	moved	image-37	to	{"x":698,"y":162}
1470237068309: 	action	mover	image-37	{"x":701,"y":161}
1470237068317: 	action	mover	image-37	{"x":704,"y":161}
1470237068326: 	action	mover	image-37	{"x":706,"y":161}
1470237068327: 	moved	image-37	to	{"x":706,"y":161}
1470237068334: 	action	mover	image-37	{"x":708,"y":160}
1470237068342: 	action	mover	image-37	{"x":710,"y":160}
1470237068343: 	moved	image-37	to	{"x":710,"y":160}
1470237068350: 	action	mover	image-37	{"x":712,"y":160}
1470237068351: 	moved	image-37	to	{"x":712,"y":160}
1470237068359: 	action	mover	image-37	{"x":714,"y":160}
