1470046547443: 	acted on	innerText
1470046547533: 	sub-instrument	start	draw	true
1470046547535: 	activate	draw
1470046550775: 	acted on	sample
1470046604381: 	draw	image-56	{"x":638.5,"y":726.5}
1470046604390: 	draw	image-56	{"x":639.5,"y":729.5}
1470046604397: 	draw	image-56	{"x":639.5,"y":731.5}
1470046604405: 	draw	image-56	{"x":639.5,"y":735.5}
1470046604415: 	draw	image-56	{"x":640.5,"y":737.5}
1470046604422: 	draw	image-56	{"x":640.5,"y":740.5}
1470046604430: 	draw	image-56	{"x":640.5,"y":742.5}
1470046604441: 	draw	image-56	{"x":641.5,"y":744.5}
1470046604447: 	draw	image-56	{"x":641.5,"y":747.5}
1470046604455: 	draw	image-56	{"x":641.5,"y":748.5}
1470046604469: 	draw	image-56	{"x":642.5,"y":751.5}
1470046604473: 	draw	image-56	{"x":642.5,"y":752.5}
1470046604480: 	draw	image-56	{"x":642.5,"y":754.5}
1470046604489: 	draw	image-56	{"x":642.5,"y":756.5}
1470046604497: 	draw	image-56	{"x":643.5,"y":757.5}
1470046604506: 	draw	image-56	{"x":643.5,"y":758.5}
1470046604522: 	draw	image-56	{"x":643.5,"y":759.5}
1470046604556: 	draw	image-56	{"x":643.5,"y":760.5}
1470046604816: 	draw	image-56	{"x":666.5,"y":720.5}
1470046604957: 	draw	image-56	{"x":672.5,"y":737.5}
1470046604964: 	draw	image-56	{"x":673.5,"y":741.5}
1470046604972: 	draw	image-56	{"x":674.5,"y":744.5}
1470046604982: 	draw	image-56	{"x":676.5,"y":748.5}
1470046604989: 	draw	image-56	{"x":676.5,"y":750.5}
1470046604997: 	draw	image-56	{"x":677.5,"y":753.5}
1470046605014: 	draw	image-56	{"x":677.5,"y":754.5}
1470046605022: 	draw	image-56	{"x":678.5,"y":759.5}
1470046605031: 	draw	image-56	{"x":678.5,"y":760.5}
1470046605039: 	draw	image-56	{"x":678.5,"y":762.5}
1470046605055: 	draw	image-56	{"x":678.5,"y":763.5}
1470046605072: 	draw	image-56	{"x":678.5,"y":764.5}
1470046605106: 	draw	image-56	{"x":678.5,"y":765.5}
1470046605173: 	draw	image-56	{"x":678.5,"y":764.5}
1470046605499: 	draw	image-56	{"x":658.5,"y":694.5}
1470046605689: 	draw	image-56	{"x":673.5,"y":702.5}
1470046605697: 	draw	image-56	{"x":674.5,"y":703.5}
1470046605706: 	draw	image-56	{"x":675.5,"y":703.5}
1470046605714: 	draw	image-56	{"x":675.5,"y":704.5}
1470046605731: 	draw	image-56	{"x":676.5,"y":704.5}
1470046605764: 	draw	image-56	{"x":677.5,"y":704.5}
1470046606358: 	draw	image-56	{"x":727.5,"y":697.5}
1470046606497: 	draw	image-56	{"x":710.5,"y":697.5}
1470046606506: 	draw	image-56	{"x":708.5,"y":698.5}
1470046606514: 	draw	image-56	{"x":706.5,"y":698.5}
1470046606522: 	draw	image-56	{"x":704.5,"y":699.5}
1470046606531: 	draw	image-56	{"x":703.5,"y":699.5}
1470046606539: 	draw	image-56	{"x":701.5,"y":700.5}
1470046606557: 	draw	image-56	{"x":700.5,"y":700.5}
1470046606581: 	draw	image-56	{"x":700.5,"y":701.5}
1470046606589: 	draw	image-56	{"x":699.5,"y":701.5}
1470046606614: 	draw	image-56	{"x":700.5,"y":702.5}
1470046606624: 	draw	image-56	{"x":702.5,"y":705.5}
1470046606631: 	draw	image-56	{"x":704.5,"y":707.5}
1470046606639: 	draw	image-56	{"x":708.5,"y":709.5}
1470046606647: 	draw	image-56	{"x":711.5,"y":710.5}
1470046606656: 	draw	image-56	{"x":715.5,"y":711.5}
1470046606663: 	draw	image-56	{"x":718.5,"y":713.5}
1470046606672: 	draw	image-56	{"x":722.5,"y":716.5}
1470046606681: 	draw	image-56	{"x":724.5,"y":717.5}
1470046606689: 	draw	image-56	{"x":727.5,"y":720.5}
1470046606697: 	draw	image-56	{"x":729.5,"y":721.5}
1470046606706: 	draw	image-56	{"x":732.5,"y":724.5}
1470046606714: 	draw	image-56	{"x":734.5,"y":725.5}
1470046606722: 	draw	image-56	{"x":736.5,"y":727.5}
1470046606731: 	draw	image-56	{"x":737.5,"y":729.5}
1470046606739: 	draw	image-56	{"x":739.5,"y":731.5}
1470046606747: 	draw	image-56	{"x":741.5,"y":733.5}
1470046606757: 	draw	image-56	{"x":742.5,"y":734.5}
1470046606764: 	draw	image-56	{"x":743.5,"y":736.5}
1470046606772: 	draw	image-56	{"x":743.5,"y":737.5}
1470046606782: 	draw	image-56	{"x":744.5,"y":739.5}
